timestamp,cpu_percent,ram_mb
1737395332,105.00,1051.27
1737395333,106.00,1051.27
1737395334,106.00,1051.27
1737395335,104.00,1051.27
1737395336,107.00,1051.27
1737395337,105.00,1051.27
1737395338,108.00,1051.27
1737395339,110.00,1051.27
1737395340,108.00,1051.27
1737395341,107.00,1051.27
1737395342,108.00,1051.27
1737395343,105.00,1051.27
1737395344,104.00,1051.27
1737395345,107.00,1051.27
1737395346,105.00,1051.27
1737395347,105.00,1051.27
1737395348,110.00,1051.27
1737395349,108.00,1051.27
1737395350,105.00,1051.27
1737395351,112.00,1051.27
1737395352,104.00,1051.27
1737395353,108.00,1051.27
1737395354,109.00,1051.27
1737395355,108.00,1051.27
1737395356,108.00,1051.27
1737395357,110.00,1051.27
1737395358,104.00,1051.27
1737395359,105.00,1051.27
1737395360,109.00,1051.27
1737395361,105.00,1051.27
1737395362,106.00,1051.27
1737395363,109.00,1051.27
1737395364,105.00,1051.27
1737395365,105.00,1051.27
1737395366,106.00,1051.27
1737395367,109.00,1051.27
1737395368,105.00,1051.27
1737395369,110.00,1051.27
1737395370,105.00,1051.27
1737395371,105.00,1051.27
1737395372,113.00,1051.27
1737395373,104.00,1051.27
1737395374,105.00,1051.27
1737395375,113.00,1051.27
1737395376,105.00,1051.27
1737395377,108.00,1051.27
1737395378,107.00,1051.27
1737395379,109.00,1051.27
1737395380,105.00,1051.27
1737395381,107.00,1051.27
1737395382,105.00,1051.27
1737395383,107.00,1051.27
1737395384,108.00,1051.27
1737395385,107.00,1051.27
1737395386,108.00,1051.27
1737395387,117.00,1051.27
1737395388,104.00,1051.27
1737395389,106.00,1051.27
1737395390,109.00,1051.27
1737395391,105.00,1051.27
1737395392,108.00,1051.27
1737395393,106.00,1051.27
1737395394,105.00,1051.27
1737395395,103.00,1051.27
1737395396,106.00,1051.27
1737395397,105.00,1051.27
1737395398,103.00,1051.27
1737395399,104.00,1051.27
1737395400,118.00,1051.27
1737395401,105.00,1051.27
1737395402,112.00,1051.27
1737395403,106.00,1051.27
1737395404,105.00,1051.27
1737395405,109.00,1051.27
1737395406,107.00,1051.27
1737395407,105.00,1051.27
1737395408,105.00,1051.27
1737395409,106.00,1051.27
1737395410,106.00,1051.27
1737395411,103.00,1051.27
1737395412,107.00,1051.27
1737395413,108.00,1051.27
1737395414,111.00,1051.27
1737395415,110.00,1051.27
1737395416,104.00,1051.27
1737395417,106.00,1051.27
1737395418,106.00,1051.27
1737395419,107.00,1051.27
1737395420,108.00,1051.27
1737395421,107.00,1051.27
1737395422,107.00,1051.27
1737395423,104.00,1051.27
1737395424,107.00,1051.27
1737395425,106.00,1051.27
1737395426,104.00,1051.27
1737395427,108.00,1051.27
1737395428,104.00,1051.27
1737395429,108.00,1051.27
1737395430,106.00,1051.27
1737395431,103.00,1051.27
1737395432,107.00,1051.27
1737395433,104.00,1051.27
1737395434,108.00,1051.27
1737395435,102.00,1051.27
1737395436,106.00,1051.27
1737395437,107.00,1051.27
1737395438,104.00,1051.27
1737395439,105.00,1051.27
1737395440,108.00,1051.27
1737395441,111.00,1051.27
1737395442,114.00,1051.27
1737395443,105.00,1051.27
1737395444,105.00,1051.27
1737395445,108.00,1051.27
1737395446,108.00,1051.27
1737395447,284.00,1093.23
1737395448,340.00,1058.48
1737395449,260.00,1072.38
1737395450,104.00,1072.38
1737395451,107.00,1072.38
1737395452,105.00,1072.38
1737395453,105.00,1072.38
1737395454,113.00,1072.38
1737395455,104.00,1072.38
1737395456,105.00,1072.38
1737395457,109.00,1072.38
1737395458,104.00,1072.38
1737395459,105.00,1072.38
1737395460,106.00,1072.38
1737395461,105.00,1072.38
1737395462,109.00,1072.38
1737395463,107.00,1072.38
1737395464,108.00,1072.38
1737395465,104.00,1072.38
1737395466,108.00,1072.38
1737395467,111.00,1072.38
1737395468,105.00,1072.38
1737395469,106.00,1072.38
1737395470,106.00,1072.38
1737395471,104.00,1072.38
1737395472,107.00,1072.38
1737395473,112.00,1072.38
1737395474,110.00,1072.38
1737395475,107.00,1072.38
1737395476,110.00,1072.38
1737395477,105.00,1072.38
1737395478,111.00,1072.38
1737395479,108.00,1072.38
1737395480,109.00,1072.38
1737395481,109.00,1072.38
1737395482,104.00,1072.38
1737395483,108.00,1072.38
1737395484,110.00,1072.38
1737395485,104.00,1072.38
1737395486,106.00,1072.38
1737395487,106.00,1072.38
1737395488,112.00,1072.38
1737395489,104.00,1072.38
1737395490,111.00,1072.38
1737395491,105.00,1072.38
1737395492,110.00,1072.38
1737395493,108.00,1072.38
1737395494,104.00,1072.38
1737395495,105.00,1072.38
1737395496,109.00,1072.38
1737395497,106.00,1072.38
1737395498,104.00,1072.38
1737395499,106.00,1072.38
1737395500,108.00,1072.38
1737395501,105.00,1072.38
1737395502,107.00,1072.38
1737395503,112.00,1072.38
1737395504,104.00,1072.38
1737395505,107.00,1072.38
1737395506,107.00,1072.38
1737395507,105.00,1072.38
1737395508,112.00,1072.38
1737395509,104.00,1072.38
1737395510,104.00,1072.38
1737395511,107.00,1072.38
1737395512,105.00,1072.38
1737395513,104.00,1072.38
1737395514,108.00,1072.38
1737395515,103.00,1072.38
1737395516,105.00,1072.38
1737395517,107.00,1072.38
1737395518,106.00,1072.38
1737395519,105.00,1072.38
1737395520,108.00,1072.38
1737395521,113.00,1072.38
1737395522,105.00,1072.38
1737395523,104.00,1072.38
1737395524,110.00,1072.38
1737395525,105.00,1072.38
